time	V(vout)
Step Information: X=494.1  (Run: 6/6)
0.000000000000000e+000	9.920753e+001
1.250000014607622e-008	9.920753e+001
2.500000029215244e-008	9.920753e+001
5.000000058430487e-008	9.920750e+001
1.000000011686097e-007	9.920633e+001
1.499999988313904e-007	9.920169e+001
2.499999941569516e-007	9.918630e+001
7.750000000000000e-006	9.793957e+001
7.758883532328035e-006	9.793810e+001
7.776650596984104e-006	9.793517e+001
7.812184726296245e-006	9.793293e+001
7.883252984920526e-006	9.793938e+001
7.883481006434353e-006	9.793945e+001
7.883937049462008e-006	9.793965e+001
7.884849135517316e-006	9.794006e+001
7.886673307627933e-006	9.794090e+001
7.890321651849167e-006	9.794260e+001
7.897618340291634e-006	9.794606e+001
7.912211717176568e-006	9.795309e+001
7.941398470946435e-006	9.796727e+001
7.941626492460263e-006	9.796738e+001
7.942994621543228e-006	9.796804e+001
7.944818793653847e-006	9.796892e+001
7.948467137875087e-006	9.797068e+001
7.955763826317565e-006	9.797421e+001
7.970357203202523e-006	9.798125e+001
7.970813246230085e-006	9.798147e+001
7.973549504395455e-006	9.798279e+001
7.984494537056937e-006	9.798808e+001
8.000000000000000e-006	9.799556e+001
1.000000000000000e-005	9.896072e+001
1.002471809403220e-005	9.897264e+001
1.007415428209660e-005	9.899158e+001
1.015112762387120e-005	9.900157e+001
1.025000000000000e-005	9.899208e+001
1.775000000000000e-005	9.774779e+001
1.777500000000000e-005	9.774367e+001
1.782500000000000e-005	9.774383e+001
1.790000000000000e-005	9.776511e+001
1.790019531250000e-005	9.776524e+001
1.790136718750000e-005	9.776636e+001
1.790292968750000e-005	9.776785e+001
1.790605468750000e-005	9.777084e+001
1.791230468750000e-005	9.777683e+001
1.792480468750000e-005	9.778885e+001
1.794980468750000e-005	9.781288e+001
1.795000000000000e-005	9.781306e+001
1.795117187500001e-005	9.781419e+001
1.795273437500001e-005	9.781570e+001
1.795585937500002e-005	9.781870e+001
1.796210937500004e-005	9.782471e+001
1.797460937500007e-005	9.783672e+001
1.797734374999909e-005	9.783935e+001
1.800000000000000e-005	9.786112e+001
2.000000000000000e-005	9.978086e+001
2.002500000000000e-005	9.980482e+001
2.007500000000000e-005	9.984477e+001
2.015000000000000e-005	9.987276e+001
2.025000000000000e-005	9.987131e+001
2.775000000000000e-005	9.861597e+001
2.777500000000000e-005	9.861181e+001
2.782500000000000e-005	9.861543e+001
2.790000000000000e-005	9.865078e+001
2.790019531250000e-005	9.865099e+001
2.790136718750000e-005	9.865266e+001
2.790292968750000e-005	9.865488e+001
2.790605468750000e-005	9.865935e+001
2.791230468750000e-005	9.866828e+001
2.792480468750000e-005	9.868617e+001
2.794980468750000e-005	9.872197e+001
2.795000000000000e-005	9.872225e+001
2.795117187499999e-005	9.872393e+001
2.795273437499998e-005	9.872617e+001
2.795585937499996e-005	9.873064e+001
2.796210937499993e-005	9.873959e+001
2.797460937499985e-005	9.875748e+001
2.797734375000192e-005	9.876140e+001
2.800000000000000e-005	9.879383e+001
3.000000000000000e-005	1.016514e+002
3.002500000000001e-005	1.016870e+002
3.007500000000001e-005	1.017501e+002
3.015000000000000e-005	1.018075e+002
3.025000000000000e-005	1.018332e+002
3.775000000000000e-005	1.005532e+002
3.777500000000000e-005	1.005489e+002
3.782500000000001e-005	1.005559e+002
3.790000000000000e-005	1.006050e+002
3.790019531250000e-005	1.006053e+002
3.790136718750000e-005	1.006075e+002
3.790292968750000e-005	1.006105e+002
3.790605468750000e-005	1.006164e+002
3.791230468750000e-005	1.006282e+002
3.792480468750000e-005	1.006519e+002
3.794980468750000e-005	1.006993e+002
3.795000000000000e-005	1.006997e+002
3.795117187499999e-005	1.007019e+002
3.795273437499999e-005	1.007049e+002
3.795585937499997e-005	1.007108e+002
3.796210937499993e-005	1.007226e+002
3.797460937499986e-005	1.007463e+002
3.797734375000193e-005	1.007515e+002
3.800000000000000e-005	1.007944e+002
4.000000000000000e-005	1.045747e+002
4.002500000000000e-005	1.046218e+002
4.007500000000001e-005	1.047077e+002
4.015000000000000e-005	1.047935e+002
4.025000000000000e-005	1.048453e+002
4.775000000000000e-005	1.035274e+002
4.777500000000000e-005	1.035231e+002
4.782500000000000e-005	1.035332e+002
4.790000000000000e-005	1.035958e+002
4.790019531250000e-005	1.035962e+002
4.790136718750000e-005	1.035989e+002
4.790292968750000e-005	1.036026e+002
4.790605468750000e-005	1.036099e+002
4.791230468750000e-005	1.036246e+002
4.792480468750000e-005	1.036540e+002
4.794980468750000e-005	1.037128e+002
4.795000000000000e-005	1.037132e+002
4.795117187499999e-005	1.037160e+002
4.795273437499998e-005	1.037196e+002
4.795585937499997e-005	1.037270e+002
4.796210937499993e-005	1.037417e+002
4.797460937499985e-005	1.037711e+002
4.797734375000193e-005	1.037775e+002
4.800000000000000e-005	1.038307e+002
5.000000000000000e-005	1.085159e+002
5.002500000000000e-005	1.085743e+002
5.007500000000000e-005	1.086823e+002
5.015000000000000e-005	1.087956e+002
5.025000000000000e-005	1.088723e+002
5.775000000000000e-005	1.075038e+002
5.777500000000000e-005	1.074993e+002
5.782500000000000e-005	1.074902e+002
5.782656250000000e-005	1.074899e+002
5.782968750000000e-005	1.074893e+002
5.783593750000000e-005	1.074899e+002
5.784848632812500e-005	1.074963e+002
5.784916992187500e-005	1.074974e+002
5.784995117187500e-005	1.074987e+002
5.785151367187500e-005	1.075014e+002
5.785463867187500e-005	1.075077e+002
5.786088867187500e-005	1.075221e+002
5.787338867187500e-005	1.075541e+002
5.789838867187500e-005	1.076222e+002
5.794838867187500e-005	1.077614e+002
5.800000000000000e-005	1.079056e+002
6.000000000000000e-005	1.134723e+002
6.002500000000000e-005	1.135415e+002
6.007500000000000e-005	1.136710e+002
6.015000000000001e-005	1.138107e+002
6.025000000000001e-005	1.139109e+002
6.775000000000001e-005	1.124791e+002
6.777500000000001e-005	1.124743e+002
6.782500000000001e-005	1.124649e+002
6.782656250000001e-005	1.124646e+002
6.782968750000001e-005	1.124640e+002
6.783593750000001e-005	1.124649e+002
6.784848632812501e-005	1.124732e+002
6.784916992187501e-005	1.124745e+002
6.784995117187501e-005	1.124761e+002
6.785151367187501e-005	1.124795e+002
6.785463867187501e-005	1.124870e+002
6.786088867187501e-005	1.125039e+002
6.787338867187502e-005	1.125412e+002
6.789838867187502e-005	1.126201e+002
6.794838867187502e-005	1.127809e+002
6.800000000000001e-005	1.129475e+002
7.000000000000001e-005	1.193722e+002
7.002500000000001e-005	1.194521e+002
7.007500000000001e-005	1.196023e+002
7.015000000000001e-005	1.197673e+002
7.025000000000001e-005	1.198898e+002
7.775000000000001e-005	1.183828e+002
7.777500000000001e-005	1.183778e+002
7.782500000000001e-005	1.183678e+002
7.782656250000001e-005	1.183675e+002
7.782968750000001e-005	1.183669e+002
7.783593750000001e-005	1.183681e+002
7.784848632812501e-005	1.183782e+002
7.784916992187501e-005	1.183797e+002
7.784995117187501e-005	1.183816e+002
7.785151367187501e-005	1.183856e+002
7.785463867187501e-005	1.183943e+002
7.786088867187501e-005	1.184136e+002
7.787338867187502e-005	1.184560e+002
7.789838867187502e-005	1.185453e+002
7.794838867187502e-005	1.187272e+002
7.800000000000001e-005	1.189155e+002
8.000000000000001e-005	1.261724e+002
8.002500000000001e-005	1.262626e+002
8.007500000000001e-005	1.264328e+002
8.015000000000001e-005	1.266219e+002
8.025000000000001e-005	1.267652e+002
8.775000000000001e-005	1.251718e+002
8.777500000000001e-005	1.251665e+002
8.782500000000001e-005	1.251560e+002
8.782656250000001e-005	1.251557e+002
8.782968750000001e-005	1.251550e+002
8.783593750000001e-005	1.251565e+002
8.784858398437501e-005	1.251684e+002
8.784995117187501e-005	1.251721e+002
8.785151367187501e-005	1.251766e+002
8.785463867187501e-005	1.251864e+002
8.786088867187501e-005	1.252082e+002
8.787338867187502e-005	1.252555e+002
8.789838867187502e-005	1.253549e+002
8.794838867187502e-005	1.255570e+002
8.800000000000001e-005	1.257663e+002
9.000000000000001e-005	1.338272e+002
9.002500000000001e-005	1.339273e+002
9.007500000000001e-005	1.341167e+002
9.015000000000001e-005	1.343288e+002
9.025000000000001e-005	1.344915e+002
9.775000000000000e-005	1.328010e+002
9.777500000000001e-005	1.327954e+002
9.782500000000001e-005	1.327842e+002
9.782656250000001e-005	1.327838e+002
